Marca,Mes,Campaña,Inversion Planeada,Revenue,Impresiones Entregadas,ROA
Office Depot,Abril,1904_OD_ACER,27777.78,82130.95,443373,1.956713963
Office Depot,Abril,1904_OD_AO-MKT,41666.67,202777.89,1729945,3.866668971
Office Depot,Abril,1904_OD_AO-PFM,26801.8,190656,1253518,6.113552075
Office Depot,Abril,1904_OD_EPSON,22033.608,176230.63,872997,6.998264742
Office Depot,Abril,1904_OD_IZETTLE,10708.33,63142.22,306756,4.896551563
Office Depot,Abril,1904_OD_PAYCLIP,4631.68,23429.45,211363,4.058520882
Office Depot,Abril,1904_OD_PYME,17626.89,124712.14,701645,6.075107407
Office Depot,Mayo,1905_OD_AO-MKT,35735.74,552289.7,981809,14.45482758
Office Depot,Mayo,1905_OD_AO-MKT_Venta Especial 9-10 mayo,26801.8,3555,514166,-0.867359655
Office Depot,Mayo,1905_OD_Brother-Impresion,35000,88753.76,1098962,1.535821714
Office Depot,Mayo,1905_OD_Brother-Rotuladores,20000,13864.55,519947,-0.3067725
Office Depot,Mayo,1905_OD_Canon,64000,269010.08,1438913,3.2032825
Office Depot,Mayo,1905_OD_Epson,30000,306414.13,257653,9.213804333
Office Depot,Mayo,1905_OD_HP-Computo,6831.83,0,1951915,-1
Office Depot,Mayo,1905_OD_HP-Consumibles,53374.9,0,904313,-1
Office Depot,Mayo,1905_OD_Logitech_HotSale,0,0,246459,0
Office Depot,Mayo,1905_OD_Microsoft Hot Sale,35507.03,0,1354480,-1
Office Depot,Mayo,1905_OD_MKT Hot Sale,178678.68,0,5730585,-1
Office Depot,Mayo,1905_OD_MKT-Venta Nocturna,27777.78,103587.15,956716,2.729137102
Office Depot,Mayo,1905_OD_MUEBLES_HotSale,17867.87,0,677403,-1
Office Depot,Mayo,1905_OD_Muebles_Venta Nocturna,17867.87,106467.5,596510,4.958600549
Office Depot,Mayo,1905_OD_Payclip Warming/HotSale,11196.5,0,293132,-1
Office Depot,Mayo,1905_OD_Pyme,26801.8,604633.95,854576,21.5594531
Office Depot,Mayo,1905_OD-PFM Hot Sale,178678.68,0,4929172,-1
Office Depot,Junio,1906_OD_AO-Brother Rotuladores,20000,201590.92,581154,9.079546
Office Depot,Junio,1906_OD_AO-MKT,26630.27,333309.43,790783,11.51618666
Office Depot,Junio,1906_OD_AO-PFM_,44383.78,277150.88,1297366,5.244418119
Office Depot,Junio,1906_OD_Canon,14294.29,134963.17,450963,8.441754015
Office Depot,Junio,1906_OD_Canon-NativeAds,10500,0,369102,-1
Office Depot,Junio,1906_OD_Intel-Gaming,20000,161786.22,490953,7.089311
Office Depot,Junio,1906_OD_MKT_VentaEsp_13jun,44383.78,130324.74,1451498,1.936314573
Office Depot,Junio,1906_OD_PayClip,9457,145614.72,319883,14.39755948
Office Depot,Junio,1906_OD_PFM_HotWeekend_1-2Jun,17753.51,22516,670207,0.268256249
Office Depot,Junio,1906_OD_PFM_Microsoft360,30000,21146.1232,1010634,-0.295129227
Office Depot,Junio,1906_OD_PyME,17753.53,68363.8,593343,2.850715886
Office Depot,Junio,1906:OD_Canon (17-30junio),26250,125331.6,831846,3.774537143
Office Depot,Junio,190601_BrotherImp_OD,35000,231458.68,877801,5.613105143
Office Depot,Julio,1907_EPSON_Summer Sale,17309.68,87866.8,905675,4.076165475
Office Depot,Julio,1907_OD_AO-MKT,97644.32,804796.6511,2922567,7.242124592
Office Depot,Julio,1907_OD_AO-PFM,79890.81,534554.62,2498531,5.691065218
Office Depot,Julio,1907_OD_Brother-Impresion_BTS,9320.59,3809.046547,257524,-0.591329889
Office Depot,Julio,1907_OD_Brother-Rotuladores,15534.32,32700.12,525548,1.10502423
