,"cliente","Año-Mes","plataforma_abreviacion","inicio_reporte","fin_reporte","tipo_conversion","fuente_medio","Nombre_Campaña","llave_analytcis","conversiones","revenue","archivo"
0,"Office Depot","2001_Enero","SEM","2020-01-09","2020-01-16","Asistida","adsocial_sem / 1912_od_ppf_acer_sem","1912_OD_PPF_ACER_SEM","1912_od_acer_none_none_DSP_2020-01-09",2,2480,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/9:01:2020 al 16:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200109-20200116.csv"
5,"Office Depot","2001_Enero","SEM","2020-01-09","2020-01-16","Asistida","adsocialsem / 1911_od_copycenter_sem","1911_OD_CopyCenter_SEM","1912_od_copycenter_none_none_DSP_2020-01-09",1,3099,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/9:01:2020 al 16:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200109-20200116.csv"
4,"Office Depot","2001_Enero","SEM","2020-01-17","2020-01-24","Asistida","adsocialsem / 1911_od_copycenter_sem","1911_OD_CopyCenter_SEM","1912_od_copycenter_none_none_DSP_2020-01-17",1,175,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/17:01:2020 al 24:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200117-20200124.csv"
5,"Office Depot","2001_Enero","SEM","2020-01-09","2020-01-16","Asistida","adsocial_sem / 1912_od_ppf_intel_hp_gaming_sem","1912_OD_PPF_INTEL_HP_GAMING_SEM","1912_od_hp-dell-intel_12dic-13ene_none_DSP_2020-01-09",1,7799.4,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/9:01:2020 al 16:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200109-20200116.csv"
5,"Office Depot","2001_Enero","SEM","2020-01-09","2020-01-16","Asistida","adsocial_sem / 2001_od_ppf_intel_dell_gaming_sem","2001_OD_PPF_INTEL_DELL_GAMING_SEM","1912_od_hp-dell-intel_12dic-13ene_none_DSP_2020-01-09",1,10299,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/9:01:2020 al 16:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200109-20200116.csv"
4,"Office Depot","2001_Enero","FB","2020-01-09","2020-01-16","Asistida","adsocial_fb / 1912_od_ppf_intel_hp_gaming_fb","1912_OD_PPF_INTEL_HP_GAMING_FB","1912_od_intel-gaming_fb_none_FB",1,11999,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/9:01:2020 al 16:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200109-20200116.csv"
3,"Office Depot","2001_Enero","DSP","2020-01-01","2020-01-08","Asistida","adsocial_herolense / 11912_od_mkt_vn_online_dsp","11912_OD_MKT_VN_Online_DSP","1912_od_mkt_ventanocturna_10dic_DSP_2020-01-01",1,3668,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/1:01:2020 al 8:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200101-20200108.csv"
10,"Office Depot","2001_Enero","SEM","2020-01-17","2020-01-24","Asistida","adsocialgoogle / 1912_od_ppf_payclip_sem","1912_OD_PPF_PAYCLIP_20AL31_SEM","1912_od_payclip_none_none_DSP_2020-01-17",1,1347,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/17:01:2020 al 24:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200117-20200124.csv"
5,"Office Depot","2001_Enero","DSP","2020-01-01","2020-01-08","Asistida","adsocialherolense / 1912_od_ao_ec_dsp","1912_OD_AO_EC_DSP","2001_od_ao-ecomm_pi_pfm_DSP_2020-01-01",1,490.4,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/1:01:2020 al 8:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200101-20200108.csv"
11,"Office Depot","2001_Enero","SEM","2020-01-09","2020-01-16","Asistida","adsocial_sem / 1912_od_el_mejor_fin_citibanamex_sem","1912_OD_EL_MEJOR_FIN_CITIBANAMEX_SEM","2001_od_ao-mkt_pi_mkt_DSP_2020-01-09",1,3099,"/home/carlos/Dropbox/ROAS 2020/2001_Enero/Semanal/9:01:2020 al 16:01:2020/Analytics www.officedepot.com.mx_ Conversiones asistidas 20200109-20200116.csv"
