,cliente,cliente_nomenclatura,marca,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma_x,plataforma_abreviacion,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,dias_totales_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,inicio_reporte,fin_reporte,inicio,fin,dias_actividad_reporte,inversión_planeada,inversión_mp,inversión_diaria,divisa,dinero_gastado,impresiones,clics,ctr,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,roas
0,GICSA,gicsa,Explanada Culiacán,2003_gicsa_explanadaculiacan_pi_mkt_FB,2003_gicsa_explanadaculiacan_pi_mkt_FB_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook / Instagram,FB,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-05 00:00:00,2020-03-31 00:00:00,0,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-01 00:00:00,2020-03-08 00:00:00,2020-03-05 00:00:00,2020-03-08 00:00:00,4.0,0,0,0,MXN,3282.69,63983.0,509.0,0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_FB_2020-03-01,0.0,0.0,0.0,0.0,0,0,0
1,GICSA,gicsa,Explanada Culiacán,2003_gicsa_explanadaculiacan_pi_mkt_FB,2003_gicsa_explanadaculiacan_pi_mkt_FB_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook / Instagram,FB,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-05 00:00:00,2020-03-31 00:00:00,0,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-17 00:00:00,2020-03-24 00:00:00,8.0,0,0,0,MXN,4856.03,56577.0,299.0,0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_FB_2020-03-17,0.0,0.0,0.0,0.0,0,0,0
2,GICSA,gicsa,Explanada Culiacán,2003_gicsa_explanadaculiacan_pi_mkt_FB,2003_gicsa_explanadaculiacan_pi_mkt_FB_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook / Instagram,FB,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-05 00:00:00,2020-03-31 00:00:00,0,25.0,1720.0,0.0,43000.0,43000.0,43000.0,43000.0,0.0,25.0,,2020-03-09 00:00:00,2020-03-16 00:00:00,2020-03-09 00:00:00,2020-03-16 00:00:00,8.0,0,0,0,MXN,5319.49,58209.0,279.0,0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_FB_2020-03-09,0.0,0.0,0.0,0.0,0,0,0
3,GICSA,gicsa,Explanada Culiacán,2003_gicsa_explanadaculiacan_pi_mkt_SEM,2003_gicsa_explanadaculiacan_pi_mkt_SEM_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,SEM,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-06 00:00:00,2020-03-31 00:00:00,0,12.0,1792.0,0.0,21500.0,21500.0,21500.0,21500.0,0.0,12.0,,2020-03-17 00:00:00,2020-03-24 00:00:00,2020-03-17 00:00:00,2020-03-24 00:00:00,8.0,0,0,0,MXN,181.57,522.0,5.0,0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_SEM_2020-03-17,0.0,0.0,0.0,0.0,0,0,0
4,GICSA,gicsa,Explanada Culiacán,2003_gicsa_explanadaculiacan_pi_mkt_SEM,2003_gicsa_explanadaculiacan_pi_mkt_SEM_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,SEM,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-03-06 00:00:00,2020-03-31 00:00:00,0,12.0,1792.0,0.0,21500.0,21500.0,21500.0,21500.0,0.0,12.0,,2020-03-01 00:00:00,2020-03-08 00:00:00,2020-03-06 00:00:00,2020-03-08 00:00:00,3.0,0,0,0,MXN,37.3,15.0,5.0,0,0.0,0.0,2003_gicsa_explanadaculiacan_pi_mkt_SEM_2020-03-01,0.0,0.0,0.0,0.0,0,0,0
5,GICSA,gicsa,Explanada Pachuca,2002_gicsa_explanadapachuca_pi_mkt_SEM,2002_gicsa_explanadapachuca_pi_mkt_SEM_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,SEM,2020-02-01 00:00:00,2020-02-28 00:00:00,2019-09-06 00:00:00,2020-03-31 00:00:00,0,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-02-17 00:00:00,2020-02-24 00:00:00,2020-02-17 00:00:00,2020-02-24 00:00:00,8.0,0,0,0,MXN,3570.48,19991.0,2174.0,0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_SEM_2020-02-17,0.0,0.0,0.0,0.0,0,0,0
6,GICSA,gicsa,Explanada Pachuca,2002_gicsa_explanadapachuca_pi_mkt_SEM,2002_gicsa_explanadapachuca_pi_mkt_SEM_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,SEM,2020-02-01 00:00:00,2020-02-28 00:00:00,2019-09-06 00:00:00,2020-03-31 00:00:00,0,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-02-01 00:00:00,2020-02-08 00:00:00,2020-02-01 00:00:00,2020-02-08 00:00:00,8.0,0,0,0,MXN,3843.38,20402.0,2977.0,0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_SEM_2020-02-01,0.0,0.0,0.0,0.0,0,0,0
7,GICSA,gicsa,Explanada Pachuca,2002_gicsa_explanadapachuca_pi_mkt_SEM,2002_gicsa_explanadapachuca_pi_mkt_SEM_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,SEM,2020-02-01 00:00:00,2020-02-28 00:00:00,2019-09-06 00:00:00,2020-03-31 00:00:00,0,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-02-25 00:00:00,2020-02-29 00:00:00,2020-02-25 00:00:00,2020-02-29 00:00:00,5.0,0,0,0,MXN,2267.78,12143.0,1352.0,0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_SEM_2020-02-25,0.0,0.0,0.0,0.0,0,0,0
8,GICSA,gicsa,Explanada Pachuca,2002_gicsa_explanadapachuca_pi_mkt_SEM,2002_gicsa_explanadapachuca_pi_mkt_SEM_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,SEM,2020-02-01 00:00:00,2020-02-28 00:00:00,2019-09-06 00:00:00,2020-03-31 00:00:00,0,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-02-09 00:00:00,2020-02-16 00:00:00,2020-02-09 00:00:00,2020-02-16 00:00:00,8.0,0,0,0,MXN,3815.96,18832.0,2773.0,0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_SEM_2020-02-09,0.0,0.0,0.0,0.0,0,0,0
9,GICSA,gicsa,Explanda Pachuca ,2002_gicsa_explanadapachuca_pi_mkt_SEM,2002_gicsa_explanadapachuca_pi_mkt_SEM_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Google Search,SEM,2020-02-01 00:00:00,2020-02-28 00:00:00,2019-09-06 00:00:00,2020-03-31 00:00:00,0,12.0,1075.0,0.0,12900.0,12900.0,12900.0,12900.0,0.0,12.0,,2020-02-17 00:00:00,2020-02-24 00:00:00,2020-02-17 00:00:00,2020-02-24 00:00:00,8.0,0,0,0,MXN,3570.48,19991.0,2174.0,0,0.0,0.0,2002_gicsa_explanadapachuca_pi_mkt_SEM_2020-02-17,0.0,0.0,0.0,0.0,0,0,0
