,cliente,Año-Mes,plataforma_abreviacion,inicio_reporte,fin_reporte,tipo_conversion,fuente_medio,Nombre_Campaña,llave_analytcis,conversiones,revenue,archivo
0,RadioShack,Hot Sale,SEM,2020-05-28,2020-05-28,Asistida,adsocialgoogle / 2005_rs_ppf_xbox_sem,2005_RS_PPF_XBOX_HOTSALE_23MAYO_AL_1JUNIO_SEM,,11,32098.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
1,RadioShack,Hot Sale,SEM,2020-05-28,2020-05-28,Asistida,adsocial_sem / 2005_rs_mercado_pago_hot_sale_sem,2005_RS_MERCADO_PAGO_HOT_SALE_SEM,,4,10936.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
2,RadioShack,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_rs_ecom_ao_fb,2005_RS_ECOM_AO_PROMOSDELMES2_11AL21_FB,,1,399.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
3,RadioShack,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_rs_mkt_ao_fb,2005_RS_MKT_AO_PROMOSDELMES2_11AL21_FB,,1,399.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
4,RadioShack,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_rs_mkt_ao_fb,2005_RS_MKT_AO_RECOGEENTUAUTOGEO3TIENDAS_13AL31_FB,,1,2499.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
5,RadioShack,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_rs_mkt_hotsale_fb,2005_RS_MKT_HOTSALE_GADGETS_22MAYO_AL_1JUNIO_FB,,1,899.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
6,RadioShack,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_rs_ppf_xbox_fb,2005_RS_PPF_XBOX_HOTSALE_23MAYO_AL_1JUNIO_FB,,1,899.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
7,RadioShack,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_rs_preventacitibanamex_fb,2005_RS_PREVENTACITIBANAMEX_22MAYO_FB,,1,4789.0,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200528-20200528.csv
0,The Home Store,Hot Sale,FB,2020-05-28,2020-05-28,Asistida,adsocialfb / 2005_ths_ecom_hotsale_fb,2005_THS_ECOM_HOTSALE_CAMA_23MAYO_AL_1JUNIO_FB,,1,1749.5,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics www.thehomestore.com.mx Conversiones asistidas 20200528-20200528.csv
0,Petco,Hot Sale,SEM,2020-05-28,2020-05-28,Asistida,adsocialsem / 2005_petco_hills_ao_sem,2005_Petco_HILLS_AO_pre-HotSale_SEM,,100,91511.21,/home/carlos/Dropbox/ROAS 2020/2005_Mayo/Semanal/Hot Sale/28:05:2020 al 28:05:2020/Analytics All Web Site Data Conversiones asistidas 20200528-20200528.csv
