"cliente_nomenclatura","llave_ventas","llave_unica_mp","versión","tipo_presupuesto","tipo_2","comentario","Año-Mes","mes_plan","campaña_nomenclatura","plataforma","fecha_inicio_plan","fecha_fin_plan","inicio_campaña","fin_campaña","costo_planeado","kpi_planeado","serving","inversión_plataforma","inversión_total","inversión_AdOps","Operativo_AdOps","Serving_AdOps","costo_operativo","semana","dias_mes","dias_semana","kpi_planeado_diario","kpi_planeado_semanal","inversion_total_diaria","inversion_total_semanal","inversion_AdOps_diaria","inversion_AdOps_semanal","inicio_reporte","fin_reporte","inicio_campaña_reporte","fin_campaña_reporte","divisa","dinero_gastado","impresiones","clics","conversiones","revenue","llave_analytics","conversiones_directas","conversiones_asistidas","revenue_directo","revenue_asistido","total_conversiones","total_revenue","ultima_actualizacion"
2003,"mp_2003_od_precioslocosmkt_pi_dsp","mp_2003_od_precioslocosmkt_pi_dsp_V1","V1","precioslocosmkt","pi","información correcta, que tenemos en el mp y en las plataformas","mp","Marzo","od","Programmatic","2020-03-12 0:00:00","2020-03-15 0:00:00","2020-03-17 0:00:00","2020-03-19 0:00:00",36.25,979525,1293,35507,36800,23920,22627,1293,23,12,4,0,244881,0,8877,0,5657,0,"2020-03-25 0:00:00","2020-03-31 0:00:00","2020-03-25 0:00:00","2020-03-19 0:00:00","MXN",0,4,1,102,270830,"mp_2003_od_precioslocosmkt_pi_dsp_2020-03-25",0,102,0,270830,102,270830,"2020-06-16 11:06:47"
2003,"mp_2003_od_precioslocosmkt_pi_dsp","mp_2003_od_precioslocosmkt_pi_dsp_V1","V1","precioslocosmkt","pi","información correcta, que tenemos en el mp y en las plataformas","mp","Marzo","od","Programmatic","2020-03-12 0:00:00","2020-03-15 0:00:00","2020-03-17 0:00:00","2020-03-19 0:00:00",36.25,979525,1293,35507,36800,23920,22627,1293,23,11,4,3,244881,734643,8877,26631,5657,16971,"2020-03-17 0:00:00","2020-03-24 0:00:00","2020-03-17 0:00:00","2020-03-19 0:00:00","MXN",36800,1019295,594,155,519362,"mp_2003_od_precioslocosmkt_pi_dsp_2020-03-17",155,0,519362,0,155,519362,"2020-06-16 11:06:47"
2003,"mp_2003_od_precioslocosmkt_pi_dsp","mp_2003_od_precioslocosmkt_pi_dsp_V1","V1","precioslocosmkt","pi","información correcta, que tenemos en el mp y en las plataformas","mp","Marzo","od","Programmatic","2020-03-12 0:00:00","2020-03-15 0:00:00","2020-03-17 0:00:00","2020-03-19 0:00:00",36.25,979525,1293,35507,36800,23920,22627,1293,23,15,4,0,244881,0,8877,0,5657,0,"2020-04-17 0:00:00","2020-04-24 0:00:00","2020-04-17 0:00:00","2020-03-19 0:00:00","MXN",0,1,0,10,17097,"mp_2003_od_precioslocosmkt_pi_dsp_2020-04-17",0,10,0,17097,10,17097,"2020-06-16 11:06:47"
2003,"mp_2003_od_precioslocosmkt_pi_dsp","mp_2003_od_precioslocosmkt_pi_dsp_V1","V1","precioslocosmkt","pi","información correcta, que tenemos en el mp y en las plataformas","mp","Marzo","od","Programmatic","2020-03-12 0:00:00","2020-03-15 0:00:00","2020-03-17 0:00:00","2020-03-19 0:00:00",36.25,979525,1293,35507,36800,23920,22627,1293,23,13,4,0,244881,0,8877,0,5657,0,"2020-04-01 0:00:00","2020-04-08 0:00:00","2020-04-01 0:00:00","2020-03-19 0:00:00","MXN",0,10,0,57,92223,"mp_2003_od_precioslocosmkt_pi_dsp_2020-04-01",0,57,0,92223,57,92223,"2020-06-16 11:06:47"
2003,"mp_2003_od_precioslocosmkt_pi_dsp","mp_2003_od_precioslocosmkt_pi_dsp_V1","V1","precioslocosmkt","pi","información correcta, que tenemos en el mp y en las plataformas","mp","Marzo","od","Programmatic","2020-03-12 0:00:00","2020-03-15 0:00:00","2020-03-17 0:00:00","2020-03-19 0:00:00",36.25,979525,1293,35507,36800,23920,22627,1293,23,14,4,0,244881,0,8877,0,5657,0,"2020-04-09 0:00:00","2020-04-16 0:00:00","2020-04-09 0:00:00","2020-03-19 0:00:00","MXN",0,0,0,47,118676,"mp_2003_od_precioslocosmkt_pi_dsp_2020-04-09",0,47,0,118676,47,118676,"2020-06-16 11:06:47"
"gwep","2001_gwep_aurum_pi_pfm_dsp","2001_gwep_aurum_pi_pfm_dsp_V2","V2","pi","pfm","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","aurum","Programmatic","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-01 0:00:00","2020-01-31 0:00:00",34.56,362350,478,12522,13000,8450,7972,478,22,1,31,8,11689,93512,404,3232,257,2056,"2020-01-01 0:00:00","2020-01-08 0:00:00","2020-01-01 0:00:00","2020-01-08 0:00:00","MXN",6046,174932,166,0,0,"2001_gwep_aurum_pi_pfm_dsp_2020-01-01",0,0,0,0,0,0,"2020-06-16 11:06:47"
"gwep","2001_gwep_aurum_pi_pfm_dsp","2001_gwep_aurum_pi_pfm_dsp_V2","V2","pi","pfm","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","aurum","Programmatic","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-01 0:00:00","2020-01-31 0:00:00",34.56,362350,478,12522,13000,8450,7972,478,22,3,31,8,11689,93512,404,3232,257,2056,"2020-01-17 0:00:00","2020-01-24 0:00:00","2020-01-17 0:00:00","2020-01-24 0:00:00","MXN",3018,87337,73,0,0,"2001_gwep_aurum_pi_pfm_dsp_2020-01-17",0,0,0,0,0,0,"2020-06-16 11:06:47"
"gwep","2001_gwep_aurum_pi_pfm_dsp","2001_gwep_aurum_pi_pfm_dsp_V2","V2","pi","pfm","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","aurum","Programmatic","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-01 0:00:00","2020-01-31 0:00:00",34.56,362350,478,12522,13000,8450,7972,478,22,2,31,8,11689,93512,404,3232,257,2056,"2020-01-09 0:00:00","2020-01-16 0:00:00","2020-01-09 0:00:00","2020-01-16 0:00:00","MXN",1442,41730,35,0,0,"2001_gwep_aurum_pi_pfm_dsp_2020-01-09",0,0,0,0,0,0,"2020-06-16 11:06:47"
"gwep","2001_gwep_aurum_pi_pfm_dsp","2001_gwep_aurum_pi_pfm_dsp_V2","V2","pi","pfm","información correcta, que tenemos en el mp y en las plataformas",2001,"Enero","aurum","Programmatic","2020-01-01 0:00:00","2020-01-31 0:00:00","2020-01-01 0:00:00","2020-01-31 0:00:00",34.56,362350,478,12522,13000,8450,7972,478,22,4,31,7,11689,81823,404,2828,257,1799,"2020-01-25 0:00:00","2020-01-31 0:00:00","2020-01-25 0:00:00","2020-01-31 0:00:00","MXN",2480,71756,60,1,0,"2001_gwep_aurum_pi_pfm_dsp_2020-01-25",1,0,0,0,1,0,"2020-06-16 11:06:47"
"gwep","2002_gwep_aurum_pi_pfm_dsp","2002_gwep_aurum_pi_pfm_dsp_V4","V4","pi","pfm","información correcta, que tenemos en el mp y en las plataformas",2002,"Febrero","aurum","Programmatic","2020-02-01 0:00:00","2020-02-29 0:00:00","2020-02-01 0:00:00","2020-02-29 0:00:00",34.56,117250,155,4052,4207,2734,2580,155,22,5,29,8,4043,32344,140,1120,89,712,"2020-02-01 0:00:00","2020-02-08 0:00:00","2020-02-01 0:00:00","2020-02-08 0:00:00","MXN",684,19779,7,0,0,"2002_gwep_aurum_pi_pfm_dsp_2020-02-01",0,0,0,0,0,0,"2020-06-16 11:06:47"
