KPI
1 de mayo de 2020 - 30 de mayo de 2020
Campaña,Mes,Fecha de inicio,Fecha de finalización,Día,Género,Edad,Moneda,Costo,Impresiones,Clics,Conversiones,CPC prom.,Costo/conv.
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Sin especificar,Sin especificar,MXN,45.94,"1,277",7,0.00,6.56,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Mujer,65 o más,MXN,4.86,8,1,0.00,4.86,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-02,Sin especificar,Sin especificar,MXN,37.21,"1,290",6,0.00,6.20,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-02,Mujer,65 o más,MXN,0.00,2,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Sin especificar,Sin especificar,MXN,74.65,"1,193",13,0.00,5.74,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Mujer,65 o más,MXN,0.00,3,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Mujer,65 o más,MXN,26.54,14,4,0.00,6.64,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Sin especificar,Sin especificar,MXN,54.43,"1,735",8,0.00,6.80,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-05,Sin especificar,Sin especificar,MXN,59.55,"1,398",9,0.00,6.62,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-05,Mujer,65 o más,MXN,0.00,4,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Mujer,25-34,MXN,46.63,50,7,0.00,6.66,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Sin especificar,Sin especificar,MXN,34.42,"1,545",5,0.00,6.88,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Mujer,65 o más,MXN,5.71,4,1,0.00,5.71,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-07,Mujer,25-34,MXN,26.73,43,3,0.00,8.91,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-07,Sin especificar,Sin especificar,MXN,56.53,"1,206",8,0.00,7.07,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-07,Mujer,65 o más,MXN,0.00,7,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Hombre,55-64,MXN,7.83,6,1,0.00,7.83,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Mujer,25-34,MXN,28.51,49,4,0.00,7.13,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Sin especificar,Sin especificar,MXN,79.06,"1,580",14,0.00,5.65,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Mujer,65 o más,MXN,5.13,8,1,0.00,5.13,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Hombre,65 o más,MXN,10.81,7,1,0.00,10.81,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Mujer,35-44,MXN,27.93,28,4,0.00,6.98,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Sin especificar,Sin especificar,MXN,62.09,"1,005",9,0.00,6.90,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Mujer,65 o más,MXN,11.75,10,1,0.00,11.75,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-09,Hombre,65 o más,MXN,4.39,7,1,0.00,4.39,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Sin especificar,Sin especificar,MXN,72.41,"1,092",10,0.00,7.24,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Mujer,65 o más,MXN,0.00,2,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-11,Hombre,55-64,MXN,7.92,7,1,0.00,7.92,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-11,Sin especificar,Sin especificar,MXN,33.37,"1,235",5,0.00,6.67,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-11,Mujer,65 o más,MXN,9.73,14,1,1.00,9.73,9.73
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-12,Sin especificar,Sin especificar,MXN,78.93,"1,096",12,0.00,6.58,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-12,Mujer,65 o más,MXN,0.00,5,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-13,Sin especificar,Sin especificar,MXN,49.78,"1,012",7,0.00,7.11,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-13,Mujer,65 o más,MXN,0.00,7,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-14,Mujer,25-34,MXN,47.07,60,9,0.00,5.23,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-14,Sin especificar,Sin especificar,MXN,53.16,851,10,0.00,5.32,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-14,Mujer,65 o más,MXN,16.08,4,2,0.00,8.04,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Sin especificar,Sin especificar,MXN,60.18,"1,181",10,0.00,6.02,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Mujer,65 o más,MXN,0.00,6,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Hombre,65 o más,MXN,0.00,7,0,0.00,0.00,0.00
