KPI
1 de mayo de 2020 - 30 de mayo de 2020
Campaña,Mes,Fecha de inicio,Fecha de finalización,Día,Región (ubicación del usuario),Moneda,Costo,Impresiones,Clics,Conversiones,CPC prom.,Costo/conv.
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Estado de Río de Janeiro,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-20,Pensilvania,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Zacapa,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-20,Sinaloa,MXN,0.00,22,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Provincia de Estocolmo,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-08,Prefectura de Kanagawa,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Provincia de Santo Domingo de los Tsáchilas,MXN,0.00,4,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-19,Área de la Bahía de San Francisco,MXN,0.00,1,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Área de la Bahía de San Francisco,MXN,16.00,2,2,0.00,8.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Guayas,MXN,0.00,0,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Washington,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Madrid,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Estado de São Paulo,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-20,Norte de Santander,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Dacca,MXN,0.00,0,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-20,Talara,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-24,Departamento de La Paz,MXN,0.00,6,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-25,Distrito de Setúbal,MXN,0.00,0,0,0.00,0.00,0.00
