KPI
1 de mayo de 2020 - 30 de mayo de 2020
Campaña,Mes,Fecha de inicio,Fecha de finalización,Día,Región (ubicación geográfica),Moneda,Costo,Impresiones,Clics,Conversiones,CPC prom.,Costo/conv.
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-05,Ciudad de México,MXN,194.99,"1,117",26,0.00,7.50,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-02,Estado de México,MXN,75.11,481,14,0.00,5.36,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-23,Estado de México,MXN,30.51,"3,359",20,0.00,1.53,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-11,Ciudad de México,MXN,230.15,936,32,1.00,7.19,230.15
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,Ciudad de México,MXN,34.12,"3,907",23,0.00,1.48,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-22,Ciudad de México,MXN,208.28,777,30,0.00,6.94,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-24,Ciudad de México,MXN,29.55,"4,170",23,0.00,1.28,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-21,Ciudad de México,MXN,26.63,"4,895",18,0.00,1.48,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Tamaulipas,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-30,Ciudad de México,MXN,66.64,"4,433",33,0.00,2.02,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-08,Estado de México,MXN,24.54,"4,764",18,0.00,1.36,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Ciudad de México,MXN,177.39,"1,031",26,0.00,6.82,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-07,Estado de México,MXN,63.17,447,10,0.00,6.32,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-11,Estado de México,MXN,53.11,511,9,0.00,5.90,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-21,Ciudad de México,MXN,180.38,859,24,0.00,7.52,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-17,Ciudad de México,MXN,32.96,"3,513",18,0.00,1.83,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Estado de México,MXN,51.24,543,7,0.00,7.32,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Estado de México,MXN,25.66,"3,033",19,0.00,1.35,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-26,Estado de México,MXN,79.52,591,17,1.00,4.68,79.52
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-18,Ciudad de México,MXN,175.84,693,27,0.00,6.51,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Ciudad de México,MXN,34.44,"3,807",21,0.00,1.64,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-05,Estado de México,MXN,85.63,502,15,0.00,5.71,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Estado de México,MXN,38.46,"3,315",23,0.00,1.67,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-10,Morelos,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-05,Departamento de Canelones,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-09,Ciudad de México,MXN,36.55,"4,407",26,0.00,1.41,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Ciudad de México,MXN,28.16,"6,339",23,0.00,1.22,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-27,Ciudad de México,MXN,215.92,647,31,0.00,6.97,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-24,Ciudad de México,MXN,181.78,676,29,0.00,6.27,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Ciudad de México,MXN,35.28,"4,233",22,0.00,1.60,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Ciudad de México,MXN,199.62,"1,033",28,0.00,7.13,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Ciudad de México,MXN,26.49,"5,488",20,0.00,1.32,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-12,Estado de México,MXN,90.07,460,17,1.00,5.30,90.07
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-06,Estado de México,MXN,69.33,447,12,0.00,5.78,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-16,Estado de México,MXN,110.90,433,16,0.00,6.93,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-18,Estado de México,MXN,143.90,313,25,0.00,5.76,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-13,Ciudad de México,MXN,32.01,"4,799",23,0.00,1.39,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-10,Estado de México,MXN,100.72,375,17,0.00,5.92,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-22,Distrito Capital,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-19,Estado de México,MXN,34.16,"4,489",32,0.00,1.07,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-20,Estado de México,MXN,126.10,390,22,2.00,5.73,63.05
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Ciudad de México,MXN,54.93,"5,383",35,0.00,1.57,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Ciudad de México,MXN,203.31,994,34,0.00,5.98,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Estado de México,MXN,65.98,"4,649",55,0.00,1.20,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-24,Estado de México,MXN,34.33,"3,506",28,0.00,1.23,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Ciudad de México,MXN,26.27,"5,908",26,0.00,1.01,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Estado de México,MXN,71.76,381,13,0.00,5.52,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Estado de México,MXN,25.38,"6,029",26,0.00,0.98,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Madrid,MXN,0.00,1,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-22,Estado de México,MXN,38.62,"2,890",27,0.00,1.43,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Ciudad de México,MXN,223.34,"1,386",31,0.00,7.20,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-14,Estado de México,MXN,156.14,388,26,0.00,6.01,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-04,Ciudad de México,MXN,29.67,"6,789",24,0.00,1.24,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Provincia de Alajuela,MXN,0.00,2,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-18,Estado de México,MXN,34.64,"2,989",18,0.00,1.92,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Ciudad de México,MXN,26.79,"4,155",22,0.00,1.22,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-28,Ciudad de México,MXN,208.32,466,27,0.00,7.72,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-07,Estado de México,MXN,31.00,"4,851",27,0.00,1.15,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-11,Provincia de Buenos Aires,MXN,0.00,6,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-22,Estado de México,MXN,89.12,456,15,1.00,5.94,89.12
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-05,Ciudad de México,MXN,36.13,"4,756",32,0.00,1.13,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,Ciudad de México,MXN,35.00,"3,295",27,0.00,1.30,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-15,Estado de México,MXN,102.15,475,17,0.00,6.01,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-15,Michoacán,MXN,0.00,2,0,0.00,0.00,0.00
