"Inicio del informe","Fin del informe","Nombre de la campaña","Hora del día (zona horaria de la cuenta publicitaria)",Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"23:00:00 - 23:59:59",2020-05-01,2020-05-31,6.33,0,0,110,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"22:00:00 - 22:59:59",2020-05-01,2020-05-31,24.32,0,0,313,5,,,,0,4.864,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"21:00:00 - 21:59:59",2020-05-01,2020-05-31,25.22,0,0,301,9,,,,0,2.80222222,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"20:00:00 - 20:59:59",2020-05-01,2020-05-31,26.14,0,0,306,4,1,actions:onsite_conversion.lead_grouped,26.14,0,6.535,1,1,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"19:00:00 - 19:59:59",2020-05-01,2020-05-31,20.87,0,0,278,4,,,,0,5.2175,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"18:00:00 - 18:59:59",2020-05-01,2020-05-31,19.95,0,0,320,5,,,,0,3.99,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"17:00:00 - 17:59:59",2020-05-01,2020-05-31,18.8,0,0,253,2,,,,0,9.4,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"16:00:00 - 16:59:59",2020-05-01,2020-05-31,19.7,0,0,294,3,,,,0,6.56666667,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"15:00:00 - 15:59:59",2020-05-01,2020-05-31,19.61,0,0,226,6,1,actions:onsite_conversion.lead_grouped,19.61,0,3.26833333,1,1,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"14:00:00 - 14:59:59",2020-05-01,2020-05-31,13.87,0,0,184,1,,,,0,13.87,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"13:00:00 - 13:59:59",2020-05-01,2020-05-31,17.68,0,0,186,2,,,,0,8.84,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"12:00:00 - 12:59:59",2020-05-01,2020-05-31,16.74,0,0,184,6,,,,0,2.79,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"11:00:00 - 11:59:59",2020-05-01,2020-05-31,13.89,0,0,153,2,,,,0,6.945,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"10:00:00 - 10:59:59",2020-05-01,2020-05-31,17.08,0,0,150,3,,,,0,5.69333333,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"09:00:00 - 09:59:59",2020-05-01,2020-05-31,20.05,0,0,143,4,1,actions:onsite_conversion.lead_grouped,20.05,0,5.0125,1,1,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"08:00:00 - 08:59:59",2020-05-01,2020-05-31,19,0,0,134,2,,,,0,9.5,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"07:00:00 - 07:59:59",2020-05-01,2020-05-31,9.56,0,0,64,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"06:00:00 - 06:59:59",2020-05-01,2020-05-31,3.55,0,0,15,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"05:00:00 - 05:59:59",2020-05-01,2020-05-31,0.7,0,0,15,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"04:00:00 - 04:59:59",2020-05-01,2020-05-31,1.42,0,0,26,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"03:00:00 - 03:59:59",2020-05-01,2020-05-31,3.18,0,0,31,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"02:00:00 - 02:59:59",2020-05-01,2020-05-31,4.79,0,0,49,,,,,0,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"01:00:00 - 01:59:59",2020-05-01,2020-05-31,12.25,0,0,111,1,,,,0,12.25,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"00:00:00 - 00:59:59",2020-05-01,2020-05-31,10.18,0,0,131,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"23:00:00 - 23:59:59",2020-05-01,2020-05-31,14.98,0,0,222,2,,,,0,7.49,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"22:00:00 - 22:59:59",2020-05-01,2020-05-31,7.75,0,0,78,3,,,,0,2.58333333,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"21:00:00 - 21:59:59",2020-05-01,2020-05-31,25.88,0,0,149,1,,,,0,25.88,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"20:00:00 - 20:59:59",2020-05-01,2020-05-31,32.46,0,0,206,6,,,,0,5.41,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"19:00:00 - 19:59:59",2020-05-01,2020-05-31,16.22,0,0,176,2,,,,0,8.11,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"18:00:00 - 18:59:59",2020-05-01,2020-05-31,17.35,0,0,158,5,,,,0,3.47,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"17:00:00 - 17:59:59",2020-05-01,2020-05-31,13.53,0,0,125,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"16:00:00 - 16:59:59",2020-05-01,2020-05-31,20.01,0,0,148,4,,,,0,5.0025,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"15:00:00 - 15:59:59",2020-05-01,2020-05-31,17.21,0,0,134,2,,,,0,8.605,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"14:00:00 - 14:59:59",2020-05-01,2020-05-31,13.8,0,0,121,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"13:00:00 - 13:59:59",2020-05-01,2020-05-31,11.43,0,0,105,1,,,,0,11.43,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"12:00:00 - 12:59:59",2020-05-01,2020-05-31,20.56,0,0,198,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"11:00:00 - 11:59:59",2020-05-01,2020-05-31,12.73,0,0,162,4,,,,0,3.1825,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"10:00:00 - 10:59:59",2020-05-01,2020-05-31,13.27,0,0,140,2,,,,0,6.635,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"09:00:00 - 09:59:59",2020-05-01,2020-05-31,7.23,0,0,97,2,1,actions:onsite_conversion.lead_grouped,7.23,0,3.615,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"08:00:00 - 08:59:59",2020-05-01,2020-05-31,12.94,0,0,69,5,1,actions:onsite_conversion.lead_grouped,12.94,0,2.588,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"07:00:00 - 07:59:59",2020-05-01,2020-05-31,8.07,0,0,66,1,1,actions:onsite_conversion.lead_grouped,8.07,0,8.07,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"06:00:00 - 06:59:59",2020-05-01,2020-05-31,4.4,0,0,31,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"05:00:00 - 05:59:59",2020-05-01,2020-05-31,2.51,0,0,20,1,1,actions:onsite_conversion.lead_grouped,2.51,0,2.51,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"04:00:00 - 04:59:59",2020-05-01,2020-05-31,1.19,0,0,13,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"03:00:00 - 03:59:59",2020-05-01,2020-05-31,6.83,0,0,41,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"02:00:00 - 02:59:59",2020-05-01,2020-05-31,6.78,0,0,51,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"01:00:00 - 01:59:59",2020-05-01,2020-05-31,12.11,0,0,83,,,,,0,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"00:00:00 - 00:59:59",2020-05-01,2020-05-31,15.92,0,0,152,4,,,,0,3.98,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,"23:00:00 - 23:59:59",2020-05-01,2020-05-31,25.97,0,0,134,2,1,actions:onsite_conversion.lead_grouped,25.97,0,12.985,1,1,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,"22:00:00 - 22:59:59",2020-05-01,2020-05-31,22.77,0,0,209,4,,,,0,5.6925,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,"21:00:00 - 21:59:59",2020-05-01,2020-05-31,17.95,0,0,207,1,,,,0,17.95,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,"20:00:00 - 20:59:59",2020-05-01,2020-05-31,18.98,0,0,164,1,,,,0,18.98,,,,,
