"Inicio del informe","Fin del informe","Nombre de la campaña",Región,Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,63.01,800,1.10125,881,15,1,actions:onsite_conversion.lead_grouped,63.01,78.7625,4.20066667,1,1,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,281.87,2841,1.0897571277719,3096,44,2,actions:onsite_conversion.lead_grouped,140.935,99.21506512,6.40613636,2,2,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,59.57,502,1.0796812749004,542,9,,,,118.66533865,6.61888889,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,255.59,2065,1.0668280871671,2203,36,4,actions:onsite_conversion.lead_grouped,63.8975,123.77239709,7.09972222,4,4,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,41.56,500,1.088,544,5,,,,83.12,8.312,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,262.53,2430,1.0654320987654,2589,25,1,actions:onsite_conversion.lead_grouped,262.53,108.03703704,10.5012,1,1,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,46.89,751,1.0612516644474,797,5,1,actions:onsite_conversion.lead_grouped,46.89,62.436751,9.378,1,1,,,
2020-05-28,2020-05-28,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,270.77,3748,1.0565635005336,3960,45,9,actions:onsite_conversion.lead_grouped,30.085555555556,72.24386339,6.01711111,9,9,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,44.49,885,1.0689265536723,946,4,,,,50.27118644,11.1225,,,,,
2020-05-27,2020-05-27,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,275.89,4003,1.0684486635024,4277,39,3,actions:onsite_conversion.lead_grouped,91.963333333333,68.92080939,7.07410256,3,3,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,48.91,731,1.0533515731874,770,12,1,actions:onsite_conversion.lead_grouped,48.91,66.90834473,4.07583333,1,1,,,
2020-05-26,2020-05-26,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,281.43,3442,1.0566531086578,3637,28,4,actions:onsite_conversion.lead_grouped,70.3575,81.76350959,10.05107143,4,4,,,
2020-05-25,2020-05-25,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,42.21,777,1.0823680823681,841,6,1,actions:onsite_conversion.lead_grouped,42.21,54.32432432,7.035,1,1,,,
2020-05-25,2020-05-25,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,268.46,3720,1.0586021505376,3938,33,3,actions:onsite_conversion.lead_grouped,89.486666666667,72.16666667,8.13515152,3,3,,,
2020-05-24,2020-05-24,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,43.36,693,1.0822510822511,750,6,1,actions:onsite_conversion.lead_grouped,43.36,62.56854257,7.22666667,1,1,,,
2020-05-24,2020-05-24,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,270.51,3244,1.0749075215783,3487,36,6,actions:onsite_conversion.lead_grouped,45.085,83.38779285,7.51416667,6,6,,,
2020-05-23,2020-05-23,2005_GWEP_ParqueHacienda_PI_PFM_FB,"State of Mexico",2020-05-01,2020-05-31,59.26,620,1.0548387096774,654,6,1,actions:onsite_conversion.lead_grouped,59.26,95.58064516,9.87666667,1,1,,,
2020-05-23,2020-05-23,2005_GWEP_ParqueHacienda_PI_PFM_FB,"Distrito Federal",2020-05-01,2020-05-31,270.45,2760,1.0836956521739,2991,37,3,actions:onsite_conversion.lead_grouped,90.15,97.98913043,7.30945946,3,3,,,
