"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,Inicio,Finalización,"Importe gastado (MXN)",Alcance,Frecuencia,Impresiones,"Clics en el enlace",Resultados,"Indicador de resultado","Costo por resultados","Costo por mil personas alcanzadas (MXN)","CPC (costo por clic en el enlace) (MXN)","Clientes potenciales","Clientes potenciales en Facebook","Registros completados","Registros completados en el sitio web","Clientes potenciales en el sitio web"
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.09,1,1,1,,,,,90,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,5.14,68,1.0588235294118,72,1,,,,75.58823529,5.14,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,5.71,100,1.08,108,,,,,57.1,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,2.05,15,1.1333333333333,17,,,,,136.66666667,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,16.46,171,1.0994152046784,188,3,,,,96.25730994,5.48666667,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,26.55,227,1.1013215859031,250,9,1,actions:onsite_conversion.lead_grouped,26.55,116.96035242,2.95,1,1,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,3.68,19,1.1052631578947,21,1,,,,193.68421053,3.68,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,58.47,463,1.0755939524838,498,7,,,,126.28509719,8.35285714,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,49,374,1.1363636363636,425,7,,,,131.01604278,7,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,2.53,19,1.1578947368421,22,,,,,133.15789474,,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,88.98,1175,1.0740425531915,1262,17,,,,75.72765957,5.23411765,,,,,
2020-05-31,2020-05-31,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,86.22,1009,1.1030723488603,1113,14,2,actions:onsite_conversion.lead_grouped,43.11,85.45094153,6.15857143,2,2,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.02,1,1,1,,,,,20,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,3.58,39,1.0512820512821,41,1,,,,91.79487179,3.58,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,4.31,32,1.09375,35,1,,,,134.6875,4.31,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,28.49,138,1.0652173913043,147,3,,,,206.44927536,9.49666667,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,12.02,82,1.0975609756098,90,1,,,,146.58536585,12.02,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,2.44,10,1,10,1,,,,244,2.44,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,58.49,351,1.0626780626781,373,7,,,,166.63817664,8.35571429,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,39.41,219,1.0776255707763,236,6,1,actions:onsite_conversion.lead_grouped,39.41,179.9543379,6.56833333,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,unknown,2020-05-01,2020-05-31,1.89,23,1,23,,,,,82.17391304,,,,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,male,2020-05-01,2020-05-31,87.87,1071,1.0690943043884,1145,10,1,actions:onsite_conversion.lead_grouped,87.87,82.04481793,8.787,1,1,,,
2020-05-30,2020-05-30,2005_GWEP_ParqueHacienda_PI_PFM_FB,25-34,female,2020-05-01,2020-05-31,76.64,601,1.0715474209651,644,15,2,actions:onsite_conversion.lead_grouped,38.32,127.52079867,5.10933333,2,2,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,unknown,2020-05-01,2020-05-31,0.6,2,1,2,,,,,300,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,male,2020-05-01,2020-05-31,1.89,33,1.030303030303,34,,,,,57.27272727,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,55-64,female,2020-05-01,2020-05-31,12.68,64,1.078125,69,1,1,actions:onsite_conversion.lead_grouped,12.68,198.125,12.68,1,1,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,unknown,2020-05-01,2020-05-31,0.18,3,1,3,,,,,60,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,male,2020-05-01,2020-05-31,18.77,135,1.0888888888889,147,2,,,,139.03703704,9.385,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,45-54,female,2020-05-01,2020-05-31,18.17,119,1.1428571428571,136,1,,,,152.68907563,18.17,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,unknown,2020-05-01,2020-05-31,0.51,12,1,12,,,,,42.5,,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,male,2020-05-01,2020-05-31,54.31,388,1.0644329896907,413,6,,,,139.9742268,9.05166667,,,,,
2020-05-29,2020-05-29,2005_GWEP_ParqueHacienda_PI_PFM_FB,35-44,female,2020-05-01,2020-05-31,52.47,275,1.1090909090909,305,3,,,,190.8,17.49,,,,,
