,cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,dias_mes,dias_semana,inversion_diaria,inversion_semanal
1,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,8393.470000000001,534098.0,3579.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-17,0.0,0.0,0.0,0.0,0,0,23,8,1434.7826086956522,11478.260869565218
2,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,6301.099999999999,289727.0,3068.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-25,0.0,0.0,0.0,0.0,0,0,23,6,1434.7826086956522,8608.695652173914
3,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,,2020-04-01,2020-04-08,2020-04-08,2020-04-08,MXN,0.3,17.0,2.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-01,0.0,0.0,0.0,0.0,0,0,23,1,1434.7826086956522,1434.7826086956522
4,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,5085.4800000000005,481792.0,3601.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-09,0.0,0.0,0.0,0.0,0,0,23,8,1434.7826086956522,11478.260869565218
5,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_gdn,2004_acer_clicktobuy_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Google Display,2020-04-08,2020-04-30,2020-04-08,2020-04-30,2.5,5544.0,0.0,13862.12,13862.12,13862.12,13862.12,0.0,2.5,,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,6210.93,718929.5,5013.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_gdn_2020-04-17,0.0,0.0,0.0,0.0,0,0,23,8,602.7008695652174,4821.606956521739
6,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_gdn,2004_acer_clicktobuy_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Google Display,2020-04-08,2020-04-30,2020-04-08,2020-05-06,2.5,5544.0,0.0,13862.12,13862.12,13862.12,13862.12,0.0,2.5,,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,1274.9750000000001,295783.5,2315.5,0.0,0.0,2004_acer_clicktobuy_pi_mkt_gdn_2020-04-25,0.0,0.0,0.0,0.0,0,0,23,6,602.7008695652174,3616.2052173913044
7,acer,clicktobuy,2004_acer_clicktobuy_pi_mkt_gdn,2004_acer_clicktobuy_pi_mkt_gdn_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Google Display,2020-04-08,2020-04-30,2020-04-08,2020-04-30,2.5,5544.0,0.0,13862.12,13862.12,13862.12,13862.12,0.0,2.5,,2020-04-09,2020-04-16,2020-04-09,2020-04-16,MXN,2256.22,331667.5,2154.5,0.0,0.0,2004_acer_clicktobuy_pi_mkt_gdn_2020-04-09,0.0,0.0,0.0,0.0,0,0,23,8,602.7008695652174,4821.606956521739
9,acer,encasa,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23,2020-04-05,2020-03-26,2020-04-30,4.35,2331.0,0.0,10135.5,10135.5,10135.5,10135.5,0.0,4.35,,2020-03-25,2020-03-31,2020-03-26,2020-03-31,MXN,370.69,42747.0,636.0,0.0,0.0,2003_acer_encasa_pi_mkt_fb_2020-03-25,0.0,0.0,0.0,0.0,0,0,14,6,723.9642857142857,4343.785714285714
10,acer,encasa,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23,2020-04-05,2020-03-26,2020-04-30,4.35,2331.0,0.0,10135.5,10135.5,10135.5,10135.5,0.0,4.35,,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,6927.84,876620.0,4603.0,0.0,0.0,2003_acer_encasa_pi_mkt_fb_2020-04-17,0.0,0.0,0.0,0.0,0,0,14,8,723.9642857142857,5791.714285714285
11,acer,encasa,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23,2020-04-05,2020-03-26,2020-04-30,4.35,2331.0,0.0,10135.5,10135.5,10135.5,10135.5,0.0,4.35,,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,5499.7300000000005,593174.0,3451.0,0.0,0.0,2003_acer_encasa_pi_mkt_fb_2020-04-25,0.0,0.0,0.0,0.0,0,0,14,6,723.9642857142857,4343.785714285714
